osmid,lat,lon
13059159646,37.577504,127.0711461
13059159647,37.5773042,127.0707813
13059159648,37.5775168,127.0710013
13059159649,37.5775848,127.0709744
13059159650,37.5776995,127.071071
13059159651,37.5775891,127.0716397
13059159652,37.5773128,127.071071
13059159653,37.5769303,127.0710656
13059159654,37.5768623,127.0711032
13059159655,37.5768495,127.0713178
13059159656,37.5767389,127.0715861
13059159657,37.5751236,127.0735763
13059159658,37.5750768,127.0738231
13059159659,37.5749408,127.0738553
13059159660,37.5749153,127.0735227
13059159661,37.5746645,127.0734261
13059159662,37.5717774,127.0689787
13059159663,37.5716923,127.0691611
13059159664,37.5716541,127.0693436
13059159665,37.5716243,127.0694884
13059159666,37.5715648,127.069188
13059159667,37.5698899,127.0650086
13059159668,37.5699835,127.0650515
13059159669,37.569958,127.0651481
13059159670,37.569975,127.0652446
13059159671,37.5698857,127.0653197
13059159672,37.5698134,127.0652339
13059159673,37.5698729,127.0651427
13059159674,37.5681727,127.0673962
13059159675,37.5680451,127.0673104
13059159676,37.5681599,127.0675572
13059159677,37.5679389,127.0675625
13059159678,37.5678921,127.0673748
13059159679,37.5677476,127.0673426
13059159680,37.5678659,127.0671548
13059159681,37.5679721,127.0712698
13059159682,37.5678616,127.0712001
13059159683,37.5676576,127.0710928
13059159684,37.5679588,127.0741825
13059159685,37.567895,127.0745098
13059159686,37.5676867,127.0746063
13059159687,37.5678066,127.0741663
13059159688,37.5674155,127.0741394
13059159689,37.5672922,127.0738712
13059159690,37.5671987,127.0736405
13059159691,37.5671179,127.0736619
13059159692,37.5669054,127.0736512
13059159693,37.5668586,127.0737263
13059159694,37.5670414,127.0737746
13059159695,37.5671179,127.0740804
13059159696,37.5670329,127.0743487
13059159697,37.5673466,127.0731307
13059159698,37.5667897,127.0728464
13059159699,37.5670618,127.0731146
13059159700,37.566981,127.0734044
13059159701,37.5672063,127.0733722
13059159702,37.5666539,127.0732328
13059159703,37.5677124,127.0734045
13059159704,37.5672746,127.074338
13059159705,37.563142,127.0677073
13059159706,37.5634736,127.0679058
13059159707,37.5637159,127.0680882
13059159708,37.5637457,127.0683082
13059159709,37.5638095,127.0683457
13059159710,37.5652126,127.0642256
13059159711,37.5653826,127.0643169
13059159712,37.5654039,127.0644939
13059159713,37.567096,127.0575257
13059159714,37.566926,127.0575525
13059159715,37.5666794,127.0574988
13059159716,37.5665731,127.0574237
13059159717,37.568482,127.0547415
13059159718,37.5688731,127.0550688
13059159719,37.5692685,127.0552566
13059159720,37.5695363,127.0553103
13059159721,37.5693917,127.0550366
13059159722,37.5691877,127.0549615
13059159723,37.5690262,127.0549347
13059159724,37.5689666,127.0546933
13059159725,37.5687796,127.0547471
13059159726,37.568686,127.0546719
13059159727,37.5687073,127.0544359
13059159728,37.569685,127.0555196
13059159729,37.5698125,127.0554553
13059159730,37.5698848,127.0555518
13059159731,37.5700718,127.0553641
13059159732,37.5705564,127.0557342
13059159733,37.5702294,127.0556913
13059159734,37.5699063,127.0556913
13059159735,37.569766,127.055745
13059159736,37.5698171,127.0558576
13059159737,37.5694897,127.0559006
13059159738,37.5689286,127.0559381
13059159739,37.5792941,127.0597575
13059159740,37.575897,127.0546023
13059159741,37.5761223,127.0542912
13059159742,37.5759777,127.0538834
13059159743,37.5757992,127.0537278
13059159744,37.5755187,127.05354
13059159745,37.5753232,127.0532181
13059159746,37.5750979,127.0531913
13059159747,37.5749661,127.0533362
13059159748,37.5748088,127.0530894
13059159749,37.5756504,127.0542751
13059159750,37.5753699,127.0540015
13059159751,37.5751913,127.0537118
13059159752,37.5755781,127.0538406
13059159753,37.5753826,127.0536742
13059159754,37.5748598,127.0535455
13059159755,37.5779626,127.0514209
13059159756,37.5778266,127.0515604
13059159757,37.5777586,127.0517589
13059159758,37.5774951,127.0522471
13059159759,37.5775504,127.0520003
13059159760,37.5774271,127.0519681
13059159761,37.5772528,127.0521291
13059159762,37.5776184,127.0513833
13059159763,37.5775716,127.0515926
13059159764,37.5774526,127.0515389
13059159765,37.5774101,127.0518394
13059159766,37.5735928,127.0493128
13059159767,37.5734057,127.0492108
13059159768,37.5732995,127.0493074
13059159769,37.5731039,127.0492698
13059159770,37.5729637,127.0495059
13059159771,37.5729296,127.0490499
13059159772,37.5728616,127.0490606
13059159773,37.5727341,127.0489372
13059159774,37.573057,127.048771
13059159775,37.5731845,127.0488568
13059159776,37.5732228,127.0489856
13059159777,37.5733885,127.0486959
13059159778,37.5735331,127.0489051
13059159779,37.5736436,127.0486208
13059159780,37.5739581,127.0482238
13059159781,37.5731973,127.0483686
13059159782,37.5734566,127.0483794
13059159783,37.5737838,127.0241804
13059159784,37.5735331,127.0241428
13059159785,37.5733673,127.0241428
13059159786,37.5732865,127.0242233
13059159787,37.573142,127.0241858
13059159788,37.573057,127.0242072
13059159789,37.5729125,127.0241965
13059159790,37.5730442,127.0243145
13059159791,37.5731675,127.0244325
13059159792,37.573074,127.0245077
13059159793,37.5734013,127.0244701
13059159794,37.573465,127.0243094
13059159795,37.573567,127.0244865
13059159796,37.5737625,127.0244436
13059159797,37.5853602,127.0349413
13059159798,37.5851775,127.034952
13059159799,37.584999,127.0349466
13059159800,37.58488,127.0348769
13059159801,37.584812,127.0347589
13059159802,37.5845315,127.0349144
13059159803,37.584302,127.035113
13059159804,37.5717729,127.023683
13059159805,37.5716709,127.02408
13059159806,37.5712713,127.0256681
13059159807,37.5719345,127.0235703
13059159808,37.5721087,127.023624
13059159809,37.5728359,127.0355155
13059159810,37.5731334,127.0351131
13059159811,37.5743193,127.0347322
13059159812,37.5761045,127.0346947
13059159813,37.5775964,127.0346786
13059159814,37.5786717,127.0347859
13059159815,37.5791733,127.0349146
13059159816,37.5794113,127.0348288
13059159817,37.5811794,127.0351883
13059159818,37.5857738,127.0362774
13059159819,37.5870062,127.0369373
13059159820,37.5874525,127.0371948
13059159821,37.5886424,127.0378225
13059159822,37.5899386,127.0383859
13059159823,37.5909032,127.0388151
13059159824,37.591889,127.0393301
13059159825,37.5929769,127.0397647
13059159826,37.5951272,127.040591
13059159827,37.5708079,127.0280321
13059159828,37.5712202,127.0279195
13059159829,37.5724275,127.0280107
13059159830,37.5734179,127.0281341
13059159831,37.5747526,127.0280697
13059159832,37.5763168,127.0278926
13059159833,37.5773751,127.027737
13059159834,37.5779872,127.0273776
13059159835,37.5783527,127.0269591
13059159836,37.5787352,127.026326
13059159837,37.5790285,127.0255695
