u,v,key,length,highway,name,coordinates,가로수
414688095,3830873554,0,37.968807928750834,tertiary,신이문로,"[[127.0620569, 37.6029799], [127.06246, 37.603], [127.0624871, 37.603]]",True
436718791,3252764030,0,55.4451814871604,residential,천호대로17길,"[[127.0321978, 37.5780269], [127.0322531, 37.5775302]]",True
436718791,5191899938,0,34.150116765347406,primary,왕산로,"[[127.0321978, 37.5780269], [127.0325849, 37.5780412]]",True
436718791,3252764042,0,89.69092298273574,primary,왕산로,"[[127.0321978, 37.5780269], [127.0319099, 37.5779993], [127.0316856, 37.5779618], [127.0314127, 37.5779131], [127.0311993, 37.5778748]]",True
436718795,7625713690,0,7.161012193083576,residential,왕산로26길,"[[127.0364523, 37.5781189], [127.0364526, 37.5780545]]",True
436718795,436718797,0,131.96399404464523,primary,왕산로,"[[127.0364523, 37.5781189], [127.0368064, 37.5781244], [127.0372863, 37.5781256], [127.0379497, 37.5781256]]",True
436718795,5321180886,0,113.84421376094164,primary,왕산로,"[[127.0364523, 37.5781189], [127.0353286, 37.578081], [127.0351615, 37.5780782]]",True
436718797,5321180880,0,17.264044025293313,primary,왕산로,"[[127.0379497, 37.5781256], [127.0381456, 37.5781267]]",True
436718797,7617572254,0,20.01122543641491,primary_link,,"[[127.0379497, 37.5781256], [127.0380897, 37.5780404], [127.0381255, 37.5780121]]",True
436718797,436718795,0,131.96399404464523,primary,왕산로,"[[127.0379497, 37.5781256], [127.0372863, 37.5781256], [127.0368064, 37.5781244], [127.0364523, 37.5781189]]",True
436718803,3830520000,0,59.98868164293678,residential,왕산로36길,"[[127.0435884, 37.5795872], [127.0438289, 37.5790825]]",True
436718803,7749822746,0,109.3193106666347,primary,왕산로,"[[127.0435884, 37.5795872], [127.0440145, 37.5797149], [127.0447424, 37.5799478]]",True
436718803,5321180871,0,92.20207245588128,primary,왕산로,"[[127.0435884, 37.5795872], [127.0428555, 37.579356], [127.0426177, 37.5792778]]",True
