u,v,key,length,tree_nearest_dist,park_tree_nearest_dist,tree_weight,park_tree_weight
287288045,1943131901,0,38.805000495535865,15.76122364467172,665.3274802940063,31.044000396428693,38.805000495535865
287288045,1943131877,0,39.84070833700067,11.400166467197844,665.3274802940063,31.872566669600538,39.84070833700067
287288045,3964387739,0,24.542440840396335,29.95516087647103,637.125497479683,19.63395267231707,24.542440840396335
287710021,7068765358,0,4.9689202224865126,19.03829789734631,493.2364107561591,3.97513617798921,4.9689202224865126
287710021,10017702402,0,65.03296420151963,19.03829789734631,444.41417680205336,52.02637136121571,65.03296420151963
287710021,10017702432,0,20.392964547560624,15.808997300232258,482.207051764597,16.3143716380485,20.392964547560624
287710035,7749822746,0,30.17050296272469,14.347759436434307,523.4588341490071,24.136402370179752,30.17050296272469
287710035,1939144051,0,15.095443661036485,11.98826872774768,523.4588341490071,12.07635492882919,15.095443661036485
287710035,11170069502,0,13.563358799055228,24.649584227022203,507.3934250427878,10.850687039244184,13.563358799055228
287710035,12234274185,0,28.64919055526911,18.076744499381824,523.4588341490071,22.919352444215292,28.64919055526911
287710035,1939144058,0,81.79644449842289,24.649584227022203,484.2963266965223,65.43715559873831,81.79644449842289
287710035,1939144055,0,32.740915351527015,17.42479385096718,523.4588341490071,26.192732281221613,32.740915351527015
287710035,12394189783,0,141.85216558543686,18.989435725652715,457.3873409938973,113.48173246834949,141.85216558543686
414683355,1936511633,0,508.2521882536489,6.942238511589036,224.66195795694856,254.12609412682446,508.2521882536489
414683355,2147578786,0,2168.896664565876,26.833143298348137,74.37016288377772,1735.117331652701,2168.896664565876
414685840,12389365914,0,17.829012917167244,14.556400357845005,337.6744456654042,14.263210333733795,17.829012917167244
414686006,7617572176,0,21.400972140648744,10.15386122311407,459.23734299997307,17.120777712518997,21.400972140648744
414686006,7617572185,0,19.861214979830045,13.395175096766591,479.90112374270507,15.888971983864037,19.861214979830045
414686006,7617572182,0,19.262909277925832,14.42537073371171,479.90112374270507,15.410327422340666,19.262909277925832
414686006,7617572179,0,21.419995344547104,12.820947913617317,464.46569422738804,17.135996275637684,21.419995344547104
414686052,12393112772,0,17.36285700807752,12.651623147111348,1355.301725982718,13.890285606462015,17.36285700807752
414686052,12393112768,0,13.831908153864473,13.664087458674446,1340.7176349412546,11.06552652309158,13.831908153864473
414686052,12393112771,0,15.655479660379607,17.317765274597487,1355.301725982718,12.524383728303686,15.655479660379607
414686052,12393112769,0,13.180110580136533,15.688302422100877,1346.9732531354975,10.544088464109228,13.180110580136533
414686055,7579130694,0,10.418822666233725,36.321387984841586,610.2276945844992,10.418822666233725,10.418822666233725
414686055,3964537796,0,42.76384221499118,46.52381932660155,589.8010128144593,42.76384221499118,42.76384221499118
414686055,5404768239,0,99.66429602779047,15.988307573433078,621.1714118458812,79.73143682223238,99.66429602779047
414688095,436868111,0,25.432518941239607,6.87222227057889,1397.189293793875,12.716259470619804,25.432518941239607
414688095,3830770937,0,68.4740446307215,5.439149539342684,1426.2826087520436,34.23702231536075,68.4740446307215
414688095,3830873554,0,37.968807928750834,6.958114048936389,1408.8240427650817,18.984403964375417,37.968807928750834
436718791,3252764030,0,55.445181487160404,11.025292206100447,869.693489870798,44.35614518972832,55.445181487160404
436718791,5191899938,0,34.150116765347406,2.7950157214145173,891.1271960157036,17.075058382673703,34.150116765347406
436718791,3252764042,0,89.69092298273574,0.18559469247101537,920.6508721461155,44.84546149136787,89.69092298273574
436718795,7625713690,0,7.161012193083576,7.993144767150595,644.6644443971162,3.580506096541788,7.161012193083576
436718795,436718797,0,131.96399404464523,4.013007016852498,613.7810438341106,65.98199702232262,131.96399404464523
436718795,5321180886,0,113.84421376094163,1.7789324921569445,653.101791705814,56.922106880470814,113.84421376094163
436718797,5321180880,0,17.264044025293313,6.0907283229469,611.848950224867,8.632022012646656,17.264044025293313
436718797,7617572254,0,20.01122543641491,4.334320476768431,595.9856800982184,10.005612718207455,20.01122543641491
436718797,436718795,0,131.96399404464523,4.013007016852498,613.7810438341106,65.98199702232262,131.96399404464523
436718803,3830520000,0,59.98868164293678,3.6156217730564393,623.4213280508939,29.99434082146839,59.98868164293678
436718803,7749822746,0,109.3193106666347,3.711103751546275,543.8691111749665,54.65965533331735,109.3193106666347
436718803,5321180871,0,92.20207245588128,2.9704541838458245,657.9889945387358,46.10103622794064,92.20207245588128
